month,cool_days,hot_days,demand,imports,exports,rig_count,supply,storage,wti_price,heating_oil,usd_rate,gas_price
2001-01,4.0,928.0,2676998.0,373077.0,25547.0,879.0,1753237.0,5609446.0,29.59,0.845,1.065594,8.17
2001-02,14.0,720.0,2309464.0,328289.0,26882.0,898.0,1582557.0,5240820.0,29.61,0.785,1.085974,5.61
2001-03,13.0,663.0,2246633.0,358103.0,32121.0,913.0,1766754.0,5041971.0,27.25,0.741,1.100009,5.23
2001-04,40.0,311.0,1807170.0,318573.0,23637.0,957.0,1703310.0,5252851.0,27.49,0.782,1.121112,5.19
2001-05,117.0,124.0,1522382.0,321878.0,28981.0,997.0,1763141.0,5749464.0,28.63,0.772,1.141182,4.19
2001-06,218.0,32.0,1444378.0,317414.0,24554.0,1050.0,1685568.0,6192512.0,27.6,0.756,1.171584,3.72
2001-07,301.0,10.0,1598071.0,364571.0,31219.0,1058.0,1737185.0,6576075.0,26.43,0.698,1.163571,3.11
2001-08,330.0,7.0,1669178.0,353338.0,28965.0,1032.0,1737283.0,6888848.0,27.37,0.734,1.110609,2.97
2001-09,138.0,74.0,1494128.0,314864.0,33517.0,972.0,1688682.0,7261934.0,26.2,0.731,1.09666,2.19
2001-10,46.0,271.0,1649073.0,326114.0,34452.0,913.0,1757397.0,7453778.0,22.17,0.628,1.103611,2.46
2001-11,22.0,411.0,1700950.0,291044.0,41840.0,825.0,1671377.0,7554750.0,19.64,0.548,1.126963,2.34
2001-12,12.0,704.0,2120198.0,309673.0,41564.0,754.0,1723803.0,7204251.0,19.39,0.524,1.120646,2.3
2002-01,10.0,785.0,2487638.0,343481.0,34491.0,725.0,1700744.0,6657016.0,19.72,0.536,1.130415,2.32
2002-02,7.0,672.0,2242427.0,305917.0,30383.0,679.0,1522916.0,6193791.0,20.72,0.541,1.149516,2.32
2002-03,18.0,629.0,2258431.0,332596.0,38141.0,617.0,1701456.0,5872829.0,24.53,0.636,1.141443,3.03
2002-04,52.0,296.0,1880985.0,315116.0,39194.0,612.0,1644193.0,6013613.0,26.18,0.667,1.12983,3.43
2002-05,90.0,196.0,1611453.0,319404.0,39459.0,690.0,1711242.0,6329453.0,27.04,0.666,1.091831,3.5
2002-06,235.0,26.0,1591373.0,318002.0,44939.0,704.0,1648568.0,6663387.0,25.52,0.646,1.047553,3.26
2002-07,361.0,4.0,1748435.0,344641.0,45032.0,716.0,1719187.0,6896201.0,26.97,0.679,1.005981,2.99
2002-08,321.0,10.0,1725712.0,356013.0,46511.0,721.0,1684340.0,7130055.0,28.39,0.701,1.022842,3.09
2002-09,194.0,43.0,1542170.0,335594.0,46563.0,736.0,1592968.0,7384108.0,29.66,0.773,1.020248,3.55
2002-10,56.0,310.0,1645873.0,343427.0,42109.0,709.0,1630246.0,7457920.0,28.84,0.768,1.018568,4.13
2002-11,12.0,567.0,1913629.0,330544.0,54589.0,683.0,1634246.0,7272705.0,26.35,0.72,0.997651,4.04
2002-12,6.0,819.0,2378895.0,370729.0,54821.0,714.0,1694674.0,6715467.0,29.46,0.821,0.983915,4.74
2003-01,5.0,948.0,2700545.0,359168.0,58449.0,718.0,1690682.0,5865966.0,32.95,0.905,0.943214,5.43
2003-02,9.0,806.0,2500315.0,308804.0,56393.0,750.0,1537109.0,5187077.0,35.83,1.129,0.927373,7.71
2003-03,25.0,581.0,2197936.0,324364.0,51851.0,767.0,1739241.0,5055702.0,33.51,0.988,0.926616,5.93
2003-04,31.0,360.0,1743530.0,314655.0,48831.0,795.0,1665329.0,5210476.0,28.17,0.796,0.922396,5.26
2003-05,108.0,177.0,1514697.0,325157.0,48519.0,864.0,1700460.0,5621675.0,28.11,0.741,0.866864,5.81
2003-06,182.0,45.0,1368369.0,306878.0,51924.0,910.0,1646690.0,6090298.0,30.66,0.759,0.855404,5.82
2003-07,331.0,5.0,1600484.0,340532.0,48707.0,924.0,1667181.0,6450716.0,30.76,0.786,0.878082,5.03
2003-08,335.0,7.0,1651580.0,331628.0,50962.0,932.0,1701056.0,6762507.0,31.57,0.816,0.896779,4.99
2003-09,152.0,67.0,1428554.0,320676.0,53337.0,936.0,1638825.0,7173311.0,28.31,0.736,0.89232,4.62
2003-10,64.0,266.0,1553189.0,331005.0,62314.0,941.0,1694596.0,7456712.0,30.34,0.82,0.85372,4.63
2003-11,23.0,490.0,1753642.0,316721.0,71867.0,952.0,1620085.0,7341444.0,31.11,0.835,0.854425,4.47
2003-12,5.0,793.0,2263659.0,364161.0,76769.0,959.0,1673106.0,6865772.0,32.13,0.891,0.815293,6.13
2004-01,7.0,968.0,2675834.0,373195.0,67024.0,955.0,1674398.0,6051839.0,34.31,0.984,0.793143,6.14
2004-02,8.0,767.0,2511097.0,345930.0,69805.0,961.0,1551457.0,5452307.0,34.69,0.913,0.792831,5.37
